time_s,voltage_v,current_a,temperature_c,soc_pct,dt_s,temperature_k,soc
-173.1,-0.05,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-173.0,-0.087,-0.07,0.0,57.0,0.09999999999999432,273.15,0.57
-172.9,-0.051,-0.08,0.0,51.5,0.09999999999999432,273.15,0.515
-172.8,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-172.7,-0.087,-0.072,0.0,57.0,0.10000000000002274,273.15,0.57
-172.6,-0.053,-0.078,0.0,51.5,0.09999999999999432,273.15,0.515
-172.5,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-172.4,-0.08,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-172.3,-0.051,-0.078,0.0,51.5,0.09999999999999432,273.15,0.515
-172.2,-0.056,-0.073,0.0,51.5,0.10000000000002274,273.15,0.515
-172.1,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-172.0,-0.053,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-171.9,-0.053,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-171.8,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-171.7,-0.081,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-171.6,-0.05,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-171.5,-0.055,-0.077,0.0,51.5,0.09999999999999432,273.15,0.515
-171.4,-0.088,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-171.3,-0.082,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-171.2,-0.083,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-171.1,-0.081,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-171.0,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-170.9,-0.08,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-170.8,-0.083,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-170.7,-0.051,-0.072,0.0,51.5,0.10000000000002274,273.15,0.515
-170.6,-0.082,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-170.5,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-170.4,-0.048,-0.079,0.0,51.5,0.09999999999999432,273.15,0.515
-170.3,-0.081,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-170.2,-0.083,-0.073,0.0,57.0,0.10000000000002274,273.15,0.57
-170.1,-0.044,-0.078,0.0,51.5,0.09999999999999432,273.15,0.515
-170.0,-0.083,-0.073,0.0,57.0,0.09999999999999432,273.15,0.57
-169.9,-0.084,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-169.8,-0.051,-0.079,0.0,51.5,0.09999999999999432,273.15,0.515
-169.7,-0.052,-0.079,0.0,51.5,0.10000000000002274,273.15,0.515
-169.6,-0.087,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-169.5,-0.089,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-169.4,-0.081,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-169.3,-0.082,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-169.2,-0.054,-0.081,0.0,51.5,0.10000000000002274,273.15,0.515
-169.1,-0.049,-0.08,0.0,51.5,0.09999999999999432,273.15,0.515
-169.0,-0.054,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-168.9,-0.087,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-168.8,-0.084,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-168.7,-0.052,-0.082,0.0,51.5,0.10000000000002274,273.15,0.515
-168.6,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-168.5,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-168.4,-0.042,-0.078,0.0,51.5,0.09999999999999432,273.15,0.515
-168.3,-0.081,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-168.2,-0.039,-0.082,0.0,51.5,0.10000000000002274,273.15,0.515
-168.1,-0.046,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-168.0,-0.051,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-167.9,-0.052,-0.074,0.0,51.5,0.09999999999999432,273.15,0.515
-167.8,-0.038,-0.075,0.0,51.5,0.09999999999999432,273.15,0.515
-167.7,-0.081,-0.07,0.0,57.0,0.10000000000002274,273.15,0.57
-167.6,-0.08,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-167.5,-0.081,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-167.4,-0.034,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-167.3,-0.057,-0.076,0.0,51.5,0.09999999999999432,273.15,0.515
-167.2,-0.055,-0.077,0.0,51.5,0.10000000000002274,273.15,0.515
-167.1,-0.056,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-167.0,-0.051,-0.082,0.0,51.5,0.09999999999999432,273.15,0.515
-166.9,-0.087,-0.07,0.0,57.0,0.09999999999999432,273.15,0.57
-166.8,-0.083,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
